Image Name,PSNR (dB),SSIM
im_0014_s80_a05,11.2033,0.5399
im_0014_s80_a06,18.2967,0.7103
im_0014_s85_a04,19.3905,0.7530
im_0014_s85_a05,20.0279,0.6129
im_0014_s85_a06,17.2635,0.5713
im_0014_s90_a04,17.3306,0.6788
im_0014_s90_a05,13.2494,0.5325
im_0014_s90_a06,18.0767,0.6804
im_0014_s95_a04,16.1697,0.5527
im_0014_s95_a05,16.4368,0.6616
im_0014_s95_a06,13.1804,0.6380
im_0015_s100_a04,14.8657,0.5261
im_0015_s100_a05,14.0980,0.5594
im_0015_s100_a06,14.3735,0.5636
im_0015_s80_a04,15.6779,0.5323
im_0015_s80_a05,14.1018,0.5357
im_0015_s80_a06,13.8638,0.5562
im_0015_s85_a04,15.0523,0.5989
im_0015_s85_a05,14.9137,0.5702
im_0015_s85_a06,16.0109,0.5642
im_0015_s90_a04,15.3675,0.6029
im_0015_s90_a05,15.4334,0.5288
im_0015_s90_a06,12.2000,0.4941
im_0015_s95_a04,14.0244,0.4853
im_0015_s95_a05,13.3311,0.5545
im_0015_s95_a06,15.3328,0.5951
im_0016_s100_a04,8.5761,0.4440
im_0016_s100_a05,17.4963,0.6366
im_0016_s100_a06,10.7319,0.4983
im_0016_s80_a04,8.7691,0.4332
im_0016_s80_a05,9.8545,0.4889
im_0016_s80_a06,10.7635,0.5489
im_0016_s85_a04,17.6430,0.6771
im_0016_s85_a05,8.6837,0.4407
im_0016_s85_a06,15.0838,0.5284
im_0016_s90_a04,17.6340,0.6743
im_0016_s90_a05,15.8724,0.5525
im_0016_s90_a06,12.7097,0.5031
im_0016_s95_a04,11.2220,0.5136
im_0016_s95_a05,18.1899,0.6165
im_0016_s95_a06,8.1218,0.4858
im_0017_s100_a04,20.2526,0.7752
im_0017_s100_a05,14.7439,0.6130
im_0017_s100_a06,16.4076,0.6559
im_0017_s80_a04,14.5825,0.5446
im_0017_s80_a05,15.5846,0.6995
im_0017_s80_a06,14.9210,0.6224
im_0017_s85_a04,20.0620,0.7704
im_0017_s85_a05,15.8362,0.6232
im_0017_s85_a06,13.2330,0.5325
im_0017_s90_a04,17.5171,0.7358
im_0017_s90_a05,20.3317,0.7198
im_0017_s90_a06,18.4877,0.5556
im_0017_s95_a04,15.0350,0.6042
im_0017_s95_a05,16.1521,0.6901
im_0017_s95_a06,12.0747,0.5432
im_0018_s100_a04,11.4236,0.4957
im_0018_s100_a05,12.5437,0.4809
im_0018_s100_a06,10.6500,0.5608
im_0018_s80_a04,11.6274,0.5167
im_0018_s80_a05,11.1370,0.6092
im_0018_s80_a06,10.6779,0.5534
im_0018_s85_a04,11.9780,0.4795
im_0018_s85_a05,13.3494,0.5528
im_0018_s85_a06,12.4418,0.5052
im_0018_s90_a04,12.4401,0.5147
im_0018_s90_a05,11.2276,0.4689
im_0018_s90_a06,10.2485,0.4286
im_0018_s95_a04,13.2991,0.5426
im_0018_s95_a05,12.8013,0.5637
im_0018_s95_a06,13.7116,0.5808
im_0019_s100_a04,15.6282,0.6898
im_0019_s100_a05,13.7957,0.6686
im_0019_s100_a06,15.8185,0.6458
im_0019_s80_a04,14.4395,0.6176
im_0019_s80_a05,14.9697,0.6333
im_0019_s80_a06,14.8758,0.7034
im_0019_s85_a04,14.0204,0.6063
im_0019_s85_a05,15.9753,0.6143
im_0019_s85_a06,16.2822,0.6491
im_0019_s90_a04,15.0827,0.6309
im_0019_s90_a05,15.3577,0.6288
im_0019_s90_a06,15.1016,0.6627
im_0019_s95_a04,15.1044,0.6761
im_0019_s95_a05,13.9153,0.6217
im_0019_s95_a06,15.3260,0.6022
im_0020_s100_a04,12.2204,0.6594
im_0020_s100_a05,13.3594,0.5934
im_0020_s100_a06,10.6463,0.5776
im_0020_s80_a04,11.2711,0.5727
im_0020_s80_a05,11.0482,0.5931
im_0020_s80_a06,12.7258,0.6064
im_0020_s85_a04,12.0746,0.6070
im_0020_s85_a05,13.7323,0.6628
im_0020_s85_a06,9.2913,0.5521
im_0020_s90_a04,14.2535,0.6138
im_0020_s90_a05,9.5748,0.5228
im_0020_s90_a06,14.8617,0.6885
im_0020_s95_a04,11.0778,0.5740
im_0020_s95_a05,9.9844,0.5999
im_0020_s95_a06,12.6725,0.6324
im_0021_s100_a04,10.4528,0.5601
im_0021_s100_a05,18.4717,0.6081
im_0021_s100_a06,12.7197,0.5947
im_0021_s80_a04,16.4758,0.5267
im_0021_s80_a05,11.1758,0.5199
im_0021_s80_a06,10.1560,0.5187
im_0021_s85_a04,18.8727,0.6770
im_0021_s85_a05,14.6625,0.6218
im_0021_s85_a06,17.4798,0.5820
im_0021_s90_a04,16.6697,0.5208
im_0021_s90_a05,12.4481,0.5826
im_0021_s90_a06,16.0819,0.4719
im_0021_s95_a04,13.9039,0.6739
im_0021_s95_a05,15.0698,0.5686
im_0021_s95_a06,17.2003,0.5977
im_0022_s100_a04,17.0460,0.6341
im_0022_s100_a05,16.7002,0.5482
im_0022_s100_a06,16.8583,0.5207
im_0022_s80_a04,13.3783,0.6247
im_0022_s80_a05,18.3146,0.7298
im_0022_s80_a06,13.7330,0.6269
im_0022_s85_a04,15.1492,0.5145
im_0022_s85_a05,17.1002,0.5604
im_0022_s85_a06,18.2431,0.6786
im_0022_s90_a04,17.3148,0.6396
im_0022_s90_a05,16.9870,0.6117
im_0022_s90_a06,16.7623,0.5559
im_0022_s95_a04,17.1348,0.5766
im_0022_s95_a05,13.9463,0.5979
im_0022_s95_a06,12.4756,0.5737
im_0023_s100_a04,14.5058,0.5096
im_0023_s100_a05,9.2418,0.3897
im_0023_s100_a06,13.9360,0.4691
im_0023_s80_a04,17.5476,0.5337
im_0023_s80_a05,8.0878,0.3745
im_0023_s80_a06,12.2656,0.4245
im_0023_s85_a04,13.8923,0.5180
im_0023_s85_a05,16.2054,0.4841
im_0023_s85_a06,7.7836,0.4462
im_0023_s90_a04,16.2981,0.5265
im_0023_s90_a05,7.6851,0.3928
im_0023_s90_a06,11.2497,0.4274
im_0023_s95_a04,12.5050,0.4594
im_0023_s95_a05,16.4543,0.5144
im_0023_s95_a06,14.6109,0.4425
im_0024_s100_a04,15.9448,0.5193
im_0024_s100_a05,8.9954,0.4276
im_0024_s100_a06,10.1313,0.4238
im_0024_s80_a04,9.9154,0.4748
im_0024_s80_a05,18.0538,0.5164
im_0024_s80_a06,11.4188,0.4889
im_0024_s85_a04,7.9872,0.4540
im_0024_s85_a05,14.9923,0.4878
im_0024_s85_a06,12.6385,0.4781
im_0024_s90_a04,12.5588,0.3816
im_0024_s90_a05,6.7281,0.4295
im_0024_s90_a06,6.8329,0.3988
im_0024_s95_a04,17.9214,0.5904
im_0024_s95_a05,8.1631,0.4168
im_0024_s95_a06,8.1368,0.4388
im_0025_s100_a04,15.6573,0.6500
im_0025_s100_a05,13.3810,0.6368
im_0025_s100_a06,11.0366,0.5350
im_0025_s80_a04,15.0416,0.6464
im_0025_s80_a05,15.1305,0.5564
im_0025_s80_a06,14.8691,0.6674
im_0025_s85_a04,15.2811,0.6379
im_0025_s85_a05,15.5957,0.6569
im_0025_s85_a06,13.4990,0.6744
im_0025_s90_a04,14.9475,0.5077
im_0025_s90_a05,15.5373,0.6373
im_0025_s90_a06,15.0980,0.6207
im_0025_s95_a04,13.2185,0.5960
im_0025_s95_a05,15.6554,0.6853
im_0025_s95_a06,15.3782,0.6481
im_0026_s100_a04,10.7640,0.5101
im_0026_s100_a05,18.0609,0.6946
im_0026_s100_a06,15.2066,0.6236
im_0026_s80_a04,10.8529,0.6056
im_0026_s80_a05,12.0771,0.6155
im_0026_s80_a06,10.6325,0.6041
im_0026_s85_a04,17.1181,0.6317
im_0026_s85_a05,9.8781,0.5123
im_0026_s85_a06,17.6618,0.6443
im_0026_s90_a04,16.9244,0.6410
im_0026_s90_a05,10.4089,0.5505
im_0026_s90_a06,15.6720,0.4422
im_0026_s95_a04,13.1663,0.6754
im_0026_s95_a05,18.8711,0.6939
