Image Name,PSNR (dB),SSIM
Gurutto_0-0_Gurutto_0-0-Webcam-R-239,18.2218,0.2954
Gurutto_0-0_Gurutto_0-0-Webcam-R-240,18.2216,0.2954
Gurutto_0-0_Gurutto_0-0-Webcam-R-241,18.1829,0.2940
Gurutto_0-0_Gurutto_0-0-Webcam-R-242,18.1338,0.2918
Gurutto_0-0_Gurutto_0-0-Webcam-R-243,18.1395,0.2912
Gurutto_0-0_Gurutto_0-0-Webcam-R-244,18.1047,0.2899
Gurutto_0-0_Gurutto_0-0-Webcam-R-245,18.1068,0.2896
Gurutto_0-0_Gurutto_0-0-Webcam-R-246,18.1068,0.2896
Gurutto_0-0_Gurutto_0-0-Webcam-R-247,18.0956,0.2880
Gurutto_0-0_Gurutto_0-0-Webcam-R-248,18.1386,0.2907
Gurutto_0-0_Gurutto_0-0-Webcam-R-249,18.1304,0.2923
Gurutto_0-0_Gurutto_0-0-Webcam-R-250,18.1344,0.2900
Gurutto_0-0_Gurutto_0-0-Webcam-R-251,18.1306,0.2939
Gurutto_0-0_Gurutto_0-0-Webcam-R-252,18.1306,0.2939
Gurutto_0-0_Gurutto_0-0-Webcam-R-253,18.1253,0.2918
Gurutto_0-0_Gurutto_0-0-Webcam-R-254,18.1261,0.2907
Gurutto_0-0_Gurutto_0-0-Webcam-R-255,18.1954,0.2899
Gurutto_0-0_Gurutto_0-0-Webcam-R-256,18.1927,0.2884
Gurutto_0-0_Gurutto_0-0-Webcam-R-257,18.1471,0.2837
Gurutto_0-0_Gurutto_0-0-Webcam-R-258,18.1463,0.2837
Gurutto_0-0_Gurutto_0-0-Webcam-R-259,18.1560,0.2871
Gurutto_0-0_Gurutto_0-0-Webcam-R-260,18.1670,0.2877
Gurutto_0-0_Gurutto_0-0-Webcam-R-261,18.1412,0.2842
Gurutto_0-0_Gurutto_0-0-Webcam-R-262,18.1753,0.2890
Gurutto_0-0_Gurutto_0-0-Webcam-R-263,18.0985,0.2852
Gurutto_0-0_Gurutto_0-0-Webcam-R-264,18.0985,0.2852
Gurutto_0-0_Gurutto_0-0-Webcam-R-265,18.1360,0.2830
Gurutto_0-0_Gurutto_0-0-Webcam-R-266,18.1524,0.2862
Gurutto_0-0_Gurutto_0-0-Webcam-R-267,18.1209,0.2850
Gurutto_0-0_Gurutto_0-0-Webcam-R-268,18.1342,0.2855
Gurutto_0-0_Gurutto_0-0-Webcam-R-269,18.1454,0.2878
Gurutto_0-0_Gurutto_0-0-Webcam-R-270,18.1457,0.2877
Gurutto_0-0_Gurutto_0-0-Webcam-R-271,18.1037,0.2850
Gurutto_0-0_Gurutto_0-0-Webcam-R-272,18.1692,0.2895
Gurutto_0-0_Gurutto_0-0-Webcam-R-273,18.1723,0.2898
Gurutto_0-0_Gurutto_0-0-Webcam-R-274,18.1639,0.2926
Gurutto_0-0_Gurutto_0-0-Webcam-R-275,18.1766,0.2913
Gurutto_0-0_Gurutto_0-0-Webcam-R-276,18.1770,0.2913
Gurutto_0-0_Gurutto_0-0-Webcam-R-277,18.1426,0.2903
Gurutto_0-0_Gurutto_0-0-Webcam-R-278,18.1678,0.2913
Gurutto_0-0_Gurutto_0-0-Webcam-R-279,18.1834,0.2907
Gurutto_0-0_Gurutto_0-0-Webcam-R-280,18.1606,0.2903
Gurutto_0-0_Gurutto_0-0-Webcam-R-281,18.2089,0.2927
Gurutto_0-0_Gurutto_0-0-Webcam-R-282,18.2095,0.2927
Gurutto_0-0_Gurutto_0-0-Webcam-R-283,18.2392,0.2917
Gurutto_0-0_Gurutto_0-0-Webcam-R-284,18.1851,0.2907
Gurutto_0-0_Gurutto_0-0-Webcam-R-285,18.1899,0.2899
Gurutto_0-0_Gurutto_0-0-Webcam-R-286,18.1653,0.2872
Gurutto_0-0_Gurutto_0-0-Webcam-R-287,18.1354,0.2873
Gurutto_0-0_Gurutto_0-0-Webcam-R-288,18.1354,0.2873
Gurutto_0-0_Gurutto_0-0-Webcam-R-289,18.1753,0.2877
Gurutto_0-0_Gurutto_0-0-Webcam-R-290,18.1578,0.2913
Gurutto_0-0_Gurutto_0-0-Webcam-R-291,18.1846,0.2928
Gurutto_0-0_Gurutto_0-0-Webcam-R-292,18.1794,0.2926
Gurutto_0-0_Gurutto_0-0-Webcam-R-293,18.1690,0.2930
Gurutto_0-0_Gurutto_0-0-Webcam-R-294,18.1675,0.2929
Gurutto_0-0_Gurutto_0-0-Webcam-R-295,18.1767,0.2918
Gurutto_0-0_Gurutto_0-0-Webcam-R-296,18.1262,0.2896
Gurutto_0-0_Gurutto_0-0-Webcam-R-297,18.1608,0.2960
Gurutto_0-0_Gurutto_0-0-Webcam-R-298,18.1312,0.2938
Gurutto_0-0_Gurutto_0-0-Webcam-R-299,18.1351,0.2934
M1135_0-0_M1135_0-0-Webcam-R-000,21.2619,0.4614
M1135_0-0_M1135_0-0-Webcam-R-001,21.2564,0.4606
M1135_0-0_M1135_0-0-Webcam-R-002,21.2510,0.4599
M1135_0-0_M1135_0-0-Webcam-R-003,21.2510,0.4599
M1135_0-0_M1135_0-0-Webcam-R-004,21.2688,0.4604
