Image Name,PSNR (dB),SSIM
419,26.2605,0.8584
42,24.9530,0.8521
420,19.3570,0.6504
421,21.8892,0.7708
422,22.9759,0.7919
423,23.9095,0.8437
424,24.5870,0.8942
425,21.4423,0.7524
426,27.9781,0.8900
427,22.4755,0.8450
428,25.3232,0.8963
429,21.9433,0.8928
43,22.5873,0.8155
430,25.1654,0.8013
431,17.5065,0.6846
432,18.5601,0.4897
433,24.1298,0.7547
434,24.5800,0.8213
435,20.1809,0.7649
436,26.4564,0.9280
437,24.4460,0.8200
438,27.4976,0.8639
439,15.7782,0.6032
44,28.8393,0.8012
440,23.6706,0.8069
441,21.9545,0.7589
442,25.7634,0.7634
443,27.0410,0.8781
444,24.6780,0.7304
445,25.6205,0.7125
446,28.5311,0.9081
447,30.6030,0.9135
448,17.1220,0.6783
449,22.6012,0.7666
45,27.3332,0.8014
450,23.1786,0.7187
451,25.8424,0.8005
452,23.3991,0.8005
453,25.5150,0.7328
454,17.8221,0.6725
455,25.8349,0.8299
456,31.0095,0.9244
457,21.6684,0.7793
458,21.4466,0.7486
459,25.3882,0.7657
46,22.6433,0.8063
460,27.0037,0.8636
461,22.9023,0.6991
462,21.9147,0.8479
463,20.7588,0.7174
464,24.3595,0.8231
465,25.2034,0.7532
466,22.9005,0.6964
467,24.8821,0.8656
468,21.5420,0.8325
469,23.4622,0.7829
47,25.1831,0.7624
470,28.1651,0.8790
471,25.4017,0.8110
472,20.7852,0.7114
473,16.4309,0.4733
474,27.7185,0.8532
475,27.1957,0.8661
476,28.3898,0.9073
477,30.0402,0.8829
478,24.4167,0.7273
479,26.9803,0.8350
48,18.1574,0.6827
480,30.8358,0.8005
481,28.8317,0.9181
482,21.7570,0.8207
483,24.9467,0.8515
484,27.3798,0.8401
485,22.2100,0.8267
486,29.0842,0.9020
487,26.3030,0.8335
488,26.5797,0.8412
489,24.5957,0.8085
49,22.9024,0.7468
490,25.8290,0.9231
491,22.5099,0.8019
492,23.7356,0.7748
493,20.3019,0.7439
494,28.8161,0.8670
495,26.2215,0.9240
496,22.9471,0.7810
497,22.9848,0.6899
498,18.2108,0.7123
499,27.0178,0.8492
5,29.2552,0.8276
50,23.7866,0.7609
500,28.6123,0.8640
501,22.7455,0.8249
502,18.6748,0.6639
503,18.1074,0.6881
504,21.7932,0.6744
505,22.9065,0.8306
506,21.6843,0.7936
507,19.8988,0.5886
508,14.2998,0.3972
509,22.6161,0.6996
51,28.0097,0.8604
510,16.1296,0.5207
511,13.9176,0.2257
512,28.3561,0.8785
513,18.7706,0.4421
514,21.4539,0.6359
515,27.1435,0.8285
516,26.3240,0.7820
517,28.9136,0.9052
518,29.1232,0.9024
519,19.5406,0.4706
52,29.1217,0.9077
520,30.6210,0.9309
521,30.1048,0.9245
522,26.2485,0.8688
523,27.0626,0.8430
524,27.0711,0.8608
525,26.7705,0.8624
526,19.4632,0.6051
527,26.3633,0.9214
528,25.9390,0.8837
529,27.3696,0.9244
53,27.6577,0.8675
530,27.5954,0.8822
531,24.6287,0.7718
532,22.4584,0.8529
533,29.5676,0.9511
534,25.4193,0.8707
535,17.3376,0.7091
536,29.3453,0.8805
537,22.0664,0.7440
538,27.6526,0.8447
539,23.1824,0.8758
54,27.2556,0.8460
540,22.6065,0.6511
541,22.9729,0.8992
542,25.0169,0.8720
543,21.6657,0.8927
544,25.7290,0.8856
545,25.9294,0.6640
546,23.9022,0.7470
547,27.7995,0.8662
548,29.0015,0.8460
549,23.8589,0.8105
55,27.5152,0.8482
550,29.8213,0.9176
551,32.6006,0.8540
552,16.1994,0.7391
553,16.8628,0.6536
554,24.9345,0.8589
555,23.3438,0.8068
556,23.0263,0.7618
557,25.8459,0.7331
558,27.5066,0.8211
559,26.9311,0.8243
56,23.6313,0.7901
560,23.2976,0.7283
561,27.4457,0.8676
562,25.2264,0.8211
563,21.3557,0.5699
564,25.2496,0.8369
565,29.2445,0.9474
566,25.6982,0.8974
567,26.4873,0.7660
568,24.6102,0.7154
569,26.8356,0.8648
57,21.2490,0.6639
570,24.7873,0.8548
571,27.2386,0.7939
572,28.4209,0.9071
573,16.7606,0.7430
574,27.1554,0.8272
575,27.4187,0.8793
576,17.4340,0.6795
577,27.5845,0.8642
578,27.3736,0.8901
579,27.2493,0.8964
58,26.8801,0.8440
580,16.3087,0.5160
581,21.2258,0.6477
582,24.0469,0.7867
583,24.2427,0.8695
584,24.2788,0.9058
585,20.4105,0.8130
586,21.6946,0.7412
587,23.4584,0.8220
588,19.5749,0.7151
589,25.0253,0.7896
59,28.1479,0.8078
590,19.6607,0.6215
591,20.3410,0.6524
592,27.8834,0.8704
593,27.0805,0.8998
594,27.1024,0.8932
595,22.6886,0.8611
596,29.2107,0.9307
597,16.0013,0.5282
598,24.5101,0.8848
599,30.6210,0.9113
6,20.5363,0.6814
60,18.2300,0.7740
600,16.1988,0.5765
601,25.5781,0.8124
602,28.9410,0.8959
603,21.5413,0.7524
604,29.7801,0.8717
605,25.5418,0.8778
606,24.1904,0.8490
607,24.5339,0.7918
608,23.3095,0.7513
609,24.7344,0.7980
61,24.2426,0.7413
610,22.8122,0.8250
611,27.7642,0.8698
612,23.5879,0.8525
613,24.2599,0.7659
614,24.2208,0.7873
615,26.4016,0.7865
616,22.0562,0.7390
617,20.6599,0.7068
618,30.3814,0.9346
619,24.1256,0.8143
62,23.2002,0.8612
620,22.9672,0.6698
621,25.2195,0.9115
622,15.8742,0.4258
623,31.1837,0.9284
624,23.0344,0.6353
625,25.4450,0.7756
626,27.8318,0.7914
627,24.2052,0.8005
628,20.5058,0.7650
629,24.7711,0.8239
63,28.9165,0.8535
630,21.4393,0.8340
631,27.7500,0.8427
632,22.6866,0.8447
633,27.2037,0.8987
634,23.9257,0.7816
635,21.9287,0.5940
636,19.9568,0.7465
637,25.5608,0.7501
638,28.3097,0.8335
639,21.2316,0.8663
64,25.9835,0.8498
640,23.9180,0.6925
641,24.7371,0.8184
642,22.9332,0.7455
643,23.2728,0.7321
644,25.2946,0.7501
645,20.4304,0.7339
646,17.5683,0.7298
647,22.7012,0.8251
648,28.4502,0.8752
649,30.8428,0.9066
65,24.9652,0.8466
650,21.3922,0.6576
651,25.3394,0.8625
652,23.2866,0.8187
653,31.9909,0.9629
654,27.4548,0.8896
655,29.3721,0.8844
656,20.3624,0.7608
657,20.2148,0.7120
658,22.3908,0.7889
659,30.9414,0.9164
66,23.8145,0.8660
660,21.4849,0.7757
661,20.8566,0.5462
662,23.9620,0.8944
663,19.8610,0.7919
664,18.5374,0.7805
665,19.7175,0.7742
666,26.7741,0.7730
667,28.6583,0.9010
668,25.1499,0.8249
669,14.8723,0.4074
67,21.6336,0.6832
670,29.6413,0.8853
671,20.1603,0.6712
672,27.3405,0.9237
673,29.6715,0.9367
674,27.7670,0.9115
675,27.3101,0.8062
676,21.7942,0.7880
677,20.5735,0.7669
678,22.5951,0.8188
679,20.5602,0.6671
68,29.2011,0.8864
680,24.3351,0.7891
681,24.7696,0.8391
682,16.7744,0.6484
683,23.9145,0.6968
684,23.1496,0.6212
685,30.8128,0.9288
686,23.7693,0.7672
687,18.7762,0.7215
688,18.7081,0.7460
689,22.1850,0.7751
69,21.4183,0.7570
690,24.9698,0.8586
691,25.9514,0.8595
692,23.5212,0.7165
693,29.0272,0.8831
694,27.8602,0.8492
695,23.7585,0.7749
696,23.2508,0.7362
697,26.1786,0.8865
698,22.0361,0.8667
699,17.8718,0.5983
7,21.0782,0.8349
70,27.3906,0.8999
700,20.9564,0.7229
701,20.2083,0.5839
702,22.2194,0.7843
703,28.6617,0.8678
704,30.5857,0.8751
705,24.3922,0.8336
706,22.8883,0.8311
707,19.6603,0.8117
708,24.2468,0.7222
709,24.1259,0.8007
71,24.3442,0.7399
710,22.4525,0.7680
711,25.6716,0.7320
712,28.1686,0.9244
713,24.7413,0.7765
714,25.6221,0.7381
715,20.2802,0.7286
716,20.8383,0.8194
717,23.9427,0.7285
718,24.9607,0.8913
719,20.1937,0.5324
72,24.5959,0.7728
720,25.5353,0.7402
721,25.8824,0.8995
722,22.7962,0.7326
723,25.5459,0.8084
724,21.2237,0.6967
725,19.2352,0.7703
726,17.8531,0.6129
727,25.1744,0.7508
728,25.0892,0.8287
729,31.7156,0.8361
73,29.4398,0.9064
730,22.8152,0.7291
731,24.4183,0.7679
732,26.3400,0.9161
733,28.9836,0.8678
734,27.6289,0.8251
735,21.5117,0.6725
736,28.9129,0.8129
737,23.2993,0.7156
738,23.7758,0.9020
739,25.9345,0.7081
74,27.7691,0.8701
740,24.3760,0.8611
741,29.1078,0.9151
742,27.7981,0.8238
743,20.8122,0.7621
744,23.6866,0.7459
745,22.3262,0.7215
746,25.1451,0.8439
747,25.6228,0.7731
748,26.6197,0.8463
749,23.8367,0.8690
75,22.5031,0.7358
750,20.8981,0.7540
751,18.4253,0.6355
752,23.5238,0.8484
753,29.0843,0.8728
754,22.1776,0.6940
755,28.2600,0.8793
756,21.8644,0.7408
757,20.2801,0.5960
758,26.4644,0.8451
759,27.3898,0.7183
76,24.3580,0.8367
760,27.8196,0.8154
761,25.3143,0.7816
762,20.8923,0.7832
763,28.7094,0.8863
764,23.1593,0.7830
765,22.2722,0.7246
766,20.0193,0.7336
767,19.6447,0.8667
768,28.6850,0.8806
769,27.5170,0.8700
77,25.6123,0.7874
770,23.5681,0.6976
771,29.0811,0.8908
772,23.9168,0.8745
773,24.5069,0.8226
774,24.6373,0.7333
775,18.9900,0.8157
776,27.0307,0.7962
777,23.8454,0.6905
778,22.2202,0.6820
779,24.9735,0.8452
78,23.6334,0.6730
780,28.4814,0.8725
781,23.1590,0.7903
782,29.5854,0.9534
783,25.2625,0.8380
784,22.8862,0.8921
785,21.5018,0.7564
786,26.2726,0.8971
787,31.3517,0.9259
788,20.5487,0.7093
789,17.0668,0.5413
79,16.4720,0.5990
790,30.0935,0.9325
791,26.5899,0.8130
792,23.2178,0.8498
793,27.2914,0.8122
794,24.8701,0.8031
795,21.6346,0.8315
796,17.4307,0.7358
797,24.2500,0.7119
798,23.9810,0.7881
799,23.3010,0.8656
8,27.1629,0.8896
80,22.4780,0.7105
800,30.0418,0.8975
801,23.4096,0.7237
802,31.9207,0.9343
803,26.3443,0.8906
804,26.5630,0.8356
805,26.7195,0.8353
806,29.4030,0.9091
807,21.1310,0.7659
808,21.7565,0.7799
809,21.8498,0.8077
81,22.9852,0.7933
810,18.6149,0.7669
811,29.2085,0.8581
812,29.7043,0.9232
813,28.3332,0.9071
814,18.1000,0.6208
815,29.7819,0.9287
816,24.6366,0.6159
817,26.1011,0.8199
818,23.4866,0.8165
819,27.5658,0.9033
82,23.2549,0.8019
820,21.6554,0.7838
821,26.1875,0.8529
822,29.7247,0.9158
823,23.3671,0.8108
824,24.7415,0.8943
825,26.9456,0.8907
826,25.0555,0.8791
827,21.1373,0.8658
828,18.7741,0.7403
829,21.4749,0.8987
83,23.1275,0.7822
830,21.0630,0.7576
831,24.0169,0.7938
832,25.7582,0.7976
833,20.7692,0.7629
834,24.7131,0.7415
835,20.4895,0.7453
836,26.9881,0.8899
837,23.9233,0.7091
838,26.7021,0.8360
839,29.9885,0.9045
84,28.8954,0.8837
840,20.7798,0.7046
841,25.9965,0.8476
842,24.5802,0.8456
843,28.1443,0.9075
844,24.6778,0.7304
845,26.5903,0.7684
846,17.6241,0.7642
847,21.9420,0.7589
848,26.4996,0.8894
849,22.6084,0.7434
85,21.4369,0.8385
850,28.3666,0.8677
851,24.3522,0.7480
852,21.8437,0.7827
853,30.8779,0.9169
854,26.8309,0.7865
855,22.6145,0.8466
856,20.9729,0.7544
857,29.8877,0.8910
858,22.8512,0.7303
859,24.9547,0.8148
86,26.0319,0.8552
860,28.4164,0.9061
861,25.9947,0.7799
862,23.2124,0.8546
863,30.5662,0.8671
864,20.2926,0.8401
865,23.7198,0.7660
866,19.9146,0.6414
867,26.9074,0.8972
868,20.5399,0.6633
869,21.9930,0.7223
87,26.6918,0.8251
870,30.5403,0.9216
871,19.1482,0.6686
872,15.7678,0.4046
873,22.9655,0.7089
874,24.3713,0.8049
875,21.6040,0.7137
876,29.7342,0.9246
