Image Name,PSNR (dB),SSIM
rainstreak_pie-rain-381,20.6084,0.6925
rainstreak_pie-rain-383,20.3186,0.6804
rainstreak_pie-rain-389,17.4163,0.6465
rainstreak_pie-rain-391,17.9722,0.6624
rainstreak_pie-rain-393,21.3745,0.7049
rainstreak_pie-rain-4,18.6666,0.5571
rainstreak_pie-rain-406,21.0039,0.7191
rainstreak_pie-rain-408,22.0483,0.7391
rainstreak_pie-rain-416,18.5237,0.6303
rainstreak_pie-rain-418,20.6059,0.7366
rainstreak_pie-rain-424,22.2934,0.7235
rainstreak_pie-rain-43,23.6921,0.6871
rainstreak_pie-rain-431,19.7637,0.7105
rainstreak_pie-rain-439,20.2222,0.6403
rainstreak_pie-rain-445,19.5387,0.6536
rainstreak_pie-rain-447,19.7999,0.6623
rainstreak_pie-rain-449,22.4524,0.7188
rainstreak_pie-rain-453,18.3714,0.5937
rainstreak_pie-rain-460,18.6354,0.5661
rainstreak_pie-rain-461,22.6052,0.7343
rainstreak_pie-rain-482,19.0456,0.6874
rainstreak_pie-rain-483,18.5911,0.6626
rainstreak_pie-rain-487,17.8860,0.6426
rainstreak_pie-rain-501,22.1716,0.6844
rainstreak_pie-rain-507,18.8833,0.5403
rainstreak_pie-rain-510,18.6539,0.6313
rainstreak_pie-rain-513,22.9372,0.7302
rainstreak_pie-rain-518,20.5780,0.5983
rainstreak_pie-rain-535,18.1822,0.5553
rainstreak_pie-rain-544,24.2317,0.7267
rainstreak_pie-rain-549,24.3817,0.7731
rainstreak_pie-rain-555,18.7908,0.6048
rainstreak_pie-rain-560,22.2253,0.6629
rainstreak_pie-rain-561,17.9659,0.5359
rainstreak_pie-rain-564,22.1023,0.6361
rainstreak_pie-rain-565,22.4181,0.6501
rainstreak_pie-rain-566,17.6291,0.5326
rainstreak_pie-rain-567,18.5750,0.5482
rainstreak_pie-rain-572,18.1043,0.5523
rainstreak_pie-rain-580,20.8934,0.6285
rainstreak_pie-rain-586,21.5269,0.6609
rainstreak_pie-rain-594,19.1788,0.5731
rainstreak_pie-rain-598,19.7382,0.6390
rainstreak_pie-rain-599,22.7081,0.7275
rainstreak_pie-rain-64,21.9794,0.6374
rainstreak_pie-rain-72,18.6387,0.6162
rainstreak_pie-rain-77,20.3262,0.6576
rainstreak_pie-rain-79,18.5319,0.6267
rainstreak_pie-rain-8,16.6431,0.5349
rainstreak_pie-rain-83,23.3285,0.7758
rainstreak_pie-rain-84,23.8059,0.8005
rainstreak_pie-rain-98,16.3810,0.4929
rainstreak_rain-108,19.1688,0.5740
rainstreak_rain-153,24.7275,0.7666
rainstreak_rain-16,18.9764,0.5710
rainstreak_rain-160,21.1253,0.6845
rainstreak_rain-161,24.2773,0.7521
rainstreak_rain-162,22.5953,0.7360
rainstreak_rain-163,24.6231,0.7616
rainstreak_rain-164,25.0599,0.7783
rainstreak_rain-165,23.3968,0.7264
rainstreak_rain-166,22.4352,0.7056
rainstreak_rain-167,24.1507,0.7667
rainstreak_rain-168,23.0919,0.7358
rainstreak_rain-169,25.2650,0.7966
rainstreak_rain-180,24.3327,0.7603
rainstreak_rain-2,20.4724,0.4993
rainstreak_rain-203,23.2262,0.7015
rainstreak_rain-237,19.8679,0.6288
rainstreak_rain-256,22.7417,0.6875
rainstreak_rain-260,19.7308,0.7059
rainstreak_rain-261,23.9340,0.7758
rainstreak_rain-262,21.3121,0.6342
rainstreak_rain-263,18.7457,0.5987
rainstreak_rain-264,19.0198,0.5577
rainstreak_rain-265,20.4385,0.5578
rainstreak_rain-266,21.6185,0.5603
rainstreak_rain-267,16.8619,0.4703
rainstreak_rain-268,19.1770,0.5336
rainstreak_rain-269,21.7381,0.6508
rainstreak_rain-274,20.0756,0.6009
rainstreak_rain-305,18.9830,0.5137
rainstreak_rain-317,21.3791,0.5324
rainstreak_rain-318,21.9278,0.5515
rainstreak_rain-354,22.8645,0.6833
rainstreak_rain-360,21.4940,0.6462
rainstreak_rain-361,22.1095,0.6413
rainstreak_rain-362,18.6692,0.4750
rainstreak_rain-363,20.5366,0.5226
rainstreak_rain-364,20.0704,0.5494
rainstreak_rain-365,22.7038,0.5858
rainstreak_rain-366,20.5468,0.5810
rainstreak_rain-367,20.4191,0.6046
rainstreak_rain-368,19.8754,0.5884
rainstreak_rain-369,20.0102,0.5659
