# NDR-Restore GT-Rain Evaluation Results,,,
,,,
# Model Information,,,
Model,NDR-Restore,,
Test Dataset,GT-Rain,,
,,,
# Overall Metrics,,,
Total Images,2100,,
Average PSNR (dB),21.2411,,
Average SSIM,0.5948,,
,,,
# Per-Image Results,,,
Image Name,GT Name,PSNR (dB),SSIM
Gurutto_0-0-Webcam-R-095.png,Gurutto_0-0-Webcam-C-000.png,25.5648,0.7599
Gurutto_0-0-Webcam-R-096.png,Gurutto_0-0-Webcam-C-000.png,25.5648,0.7599
Gurutto_0-0-Webcam-R-097.png,Gurutto_0-0-Webcam-C-000.png,25.7109,0.7602
Gurutto_0-0-Webcam-R-098.png,Gurutto_0-0-Webcam-C-000.png,25.8513,0.7633
Gurutto_0-0-Webcam-R-099.png,Gurutto_0-0-Webcam-C-000.png,25.7451,0.7749
Gurutto_0-0-Webcam-R-100.png,Gurutto_0-0-Webcam-C-000.png,25.881,0.7756
Gurutto_0-0-Webcam-R-101.png,Gurutto_0-0-Webcam-C-000.png,25.9593,0.7763
Gurutto_0-0-Webcam-R-102.png,Gurutto_0-0-Webcam-C-000.png,25.9627,0.7765
Gurutto_0-0-Webcam-R-103.png,Gurutto_0-0-Webcam-C-000.png,25.8312,0.7725
Gurutto_0-0-Webcam-R-104.png,Gurutto_0-0-Webcam-C-000.png,25.7526,0.7671
Gurutto_0-0-Webcam-R-105.png,Gurutto_0-0-Webcam-C-000.png,25.7711,0.7699
Gurutto_0-0-Webcam-R-106.png,Gurutto_0-0-Webcam-C-000.png,25.7744,0.7711
Gurutto_0-0-Webcam-R-107.png,Gurutto_0-0-Webcam-C-000.png,25.7375,0.7674
Gurutto_0-0-Webcam-R-108.png,Gurutto_0-0-Webcam-C-000.png,25.7388,0.7675
Gurutto_0-0-Webcam-R-109.png,Gurutto_0-0-Webcam-C-000.png,25.7674,0.7699
Gurutto_0-0-Webcam-R-110.png,Gurutto_0-0-Webcam-C-000.png,25.6796,0.7702
Gurutto_0-0-Webcam-R-111.png,Gurutto_0-0-Webcam-C-000.png,25.7315,0.772
Gurutto_0-0-Webcam-R-112.png,Gurutto_0-0-Webcam-C-000.png,25.6844,0.7724
Gurutto_0-0-Webcam-R-113.png,Gurutto_0-0-Webcam-C-000.png,25.3509,0.7665
Gurutto_0-0-Webcam-R-114.png,Gurutto_0-0-Webcam-C-000.png,25.3516,0.7665
Gurutto_0-0-Webcam-R-115.png,Gurutto_0-0-Webcam-C-000.png,25.4021,0.7694
Gurutto_0-0-Webcam-R-116.png,Gurutto_0-0-Webcam-C-000.png,25.5774,0.7696
Gurutto_0-0-Webcam-R-117.png,Gurutto_0-0-Webcam-C-000.png,25.6136,0.7685
Gurutto_0-0-Webcam-R-118.png,Gurutto_0-0-Webcam-C-000.png,25.4943,0.7696
Gurutto_0-0-Webcam-R-119.png,Gurutto_0-0-Webcam-C-000.png,25.4518,0.7668
Gurutto_0-0-Webcam-R-120.png,Gurutto_0-0-Webcam-C-000.png,25.4554,0.7669
Gurutto_0-0-Webcam-R-121.png,Gurutto_0-0-Webcam-C-000.png,25.4241,0.7657
Gurutto_0-0-Webcam-R-122.png,Gurutto_0-0-Webcam-C-000.png,25.448,0.7642
Gurutto_0-0-Webcam-R-123.png,Gurutto_0-0-Webcam-C-000.png,25.2471,0.761
Gurutto_0-0-Webcam-R-124.png,Gurutto_0-0-Webcam-C-000.png,25.5949,0.769
Gurutto_0-0-Webcam-R-125.png,Gurutto_0-0-Webcam-C-000.png,25.5657,0.7691
Gurutto_0-0-Webcam-R-126.png,Gurutto_0-0-Webcam-C-000.png,25.5657,0.7691
Gurutto_0-0-Webcam-R-127.png,Gurutto_0-0-Webcam-C-000.png,25.221,0.7617
Gurutto_0-0-Webcam-R-128.png,Gurutto_0-0-Webcam-C-000.png,25.4431,0.7677
Gurutto_0-0-Webcam-R-129.png,Gurutto_0-0-Webcam-C-000.png,25.7562,0.7691
Gurutto_0-0-Webcam-R-130.png,Gurutto_0-0-Webcam-C-000.png,25.6406,0.764
