# NDR-Restore RealRain-1k-L Evaluation Results,,,
,,,
# Model Information,,,
Model,NDR-Restore,,
Test Dataset,RealRain-1k-L,,
,,,
# Overall Metrics,,,
Total Images,224,,
Average PSNR (dB),23.8076,,
Average SSIM,0.7667,,
,,,
# Per-Image Results,,,
Image Name,GT Name,PSNR (dB),SSIM
765.png,765.png,26.6256,0.8989
766.png,766.png,25.5081,0.8731
767.png,767.png,31.0118,0.9411
770.png,770.png,28.432,0.8862
778.png,778.png,19.1389,0.8607
779.png,779.png,28.9242,0.9057
780.png,780.png,30.6076,0.9508
788.png,788.png,17.8854,0.8254
789.png,789.png,24.2177,0.8197
797.png,797.png,26.0213,0.9129
813.png,813.png,28.355,0.9151
814.png,814.png,26.0446,0.8394
817.png,817.png,19.062,0.5966
826.png,826.png,21.8378,0.8399
834.png,834.png,17.4726,0.3608
835.png,835.png,18.1024,0.5034
839.png,839.png,31.6854,0.9182
845.png,845.png,24.9369,0.8481
847.png,847.png,17.9595,0.7236
850.png,850.png,12.0267,0.3773
855.png,855.png,18.8559,0.4241
859.png,859.png,32.6717,0.9581
862.png,862.png,27.6276,0.8373
863.png,863.png,15.4516,0.6963
864.png,864.png,29.2336,0.9042
865.png,865.png,18.1909,0.4103
882.png,882.png,25.0807,0.7553
883.png,883.png,26.9587,0.8471
884.png,884.png,36.8973,0.9695
885.png,885.png,39.7984,0.9754
933.png,933.png,23.7554,0.7986
939.png,939.png,25.526,0.7979
941.png,941.png,35.029,0.9552
944.png,944.png,28.6709,0.6377
946.png,946.png,18.9374,0.5299
947.png,947.png,23.5326,0.7221
950.png,950.png,21.9566,0.8473
957.png,957.png,9.5626,0.1454
959.png,959.png,32.6113,0.9295
969.png,969.png,33.9275,0.8831
994.png,994.png,16.7806,0.4941
995.png,995.png,28.178,0.8267
1002.png,1002.png,19.5361,0.9226
1003.png,1003.png,19.7118,0.8211
1004.png,1004.png,19.1622,0.8255
1006.png,1006.png,23.7792,0.7059
1009.png,1009.png,18.3436,0.3474
1010.png,1010.png,23.9536,0.8051
1013.png,1013.png,23.4445,0.7907
1014.png,1014.png,17.6493,0.658
1015.png,1015.png,22.4864,0.6026
1016.png,1016.png,17.0846,0.5891
1020.png,1020.png,33.5464,0.9749
1023.png,1023.png,24.9867,0.7933
1030.png,1030.png,31.3079,0.9417
1031.png,1031.png,13.494,0.2103
1035.png,1035.png,38.7676,0.984
1040.png,1040.png,29.2087,0.9253
1041.png,1041.png,16.6287,0.4556
1050.png,1050.png,39.364,0.9862
1060.png,1060.png,23.5831,0.7774
1071.png,1071.png,29.4236,0.8984
1080.png,1080.png,33.483,0.9274
1086.png,1086.png,20.9,0.806
1088.png,1088.png,36.9814,0.9777
1096.png,1096.png,13.697,0.4519
1097.png,1097.png,26.9396,0.8496
1101.png,1101.png,13.0364,0.6642
1102.png,1102.png,27.0372,0.9197
