# NDR-Restore RealRain-1k-H Evaluation Results,,,
,,,
# Model Information,,,
Model,NDR-Restore,,
Test Dataset,RealRain-1k-H,,
,,,
# Overall Metrics,,,
Total Images,224,,
Average PSNR (dB),22.0523,,
Average SSIM,0.6931,,
,,,
# Per-Image Results,,,
Image Name,GT Name,PSNR (dB),SSIM
200.png,200.png,22.4448,0.4949
221.png,221.png,17.9195,0.5525
231.png,231.png,20.4837,0.5434
232.png,232.png,18.8881,0.5877
252.png,252.png,20.794,0.6184
257.png,257.png,19.0559,0.6462
261.png,261.png,19.8119,0.4618
262.png,262.png,25.0276,0.8119
264.png,264.png,22.9005,0.7994
268.png,268.png,16.307,0.2747
287.png,287.png,24.7582,0.8221
290.png,290.png,21.1849,0.8038
311.png,311.png,23.4165,0.499
313.png,313.png,31.7413,0.9278
338.png,338.png,18.4921,0.7676
345.png,345.png,14.4793,0.3269
346.png,346.png,16.2206,0.3575
348.png,348.png,16.2333,0.2199
356.png,356.png,18.7753,0.534
367.png,367.png,10.0883,0.3714
368.png,368.png,19.4862,0.625
378.png,378.png,13.8221,0.6061
381.png,381.png,14.6022,0.4179
382.png,382.png,12.6478,0.571
389.png,389.png,13.2772,0.4466
399.png,399.png,8.1272,0.2012
403.png,403.png,12.1592,0.2743
404.png,404.png,13.5293,0.6193
407.png,407.png,15.9059,0.2228
410.png,410.png,13.8233,0.2541
412.png,412.png,7.1165,0.0912
425.png,425.png,17.7645,0.596
429.png,429.png,32.4952,0.9513
451.png,451.png,26.6199,0.879
465.png,465.png,21.3066,0.6157
472.png,472.png,19.047,0.6468
479.png,479.png,26.1045,0.878
481.png,481.png,28.8769,0.9539
485.png,485.png,23.772,0.6648
495.png,495.png,28.2173,0.9309
497.png,497.png,27.1085,0.8945
499.png,499.png,28.5536,0.9469
502.png,502.png,30.659,0.9446
524.png,524.png,25.0264,0.8071
525.png,525.png,21.113,0.6649
528.png,528.png,20.7517,0.6301
529.png,529.png,24.1278,0.7748
540.png,540.png,30.1027,0.9642
548.png,548.png,17.8148,0.6143
551.png,551.png,23.0148,0.7107
565.png,565.png,22.2021,0.8147
566.png,566.png,20.9043,0.7987
569.png,569.png,17.8664,0.6721
576.png,576.png,19.818,0.6805
578.png,578.png,22.9593,0.8313
584.png,584.png,20.8194,0.7624
587.png,587.png,26.2707,0.8958
588.png,588.png,21.3204,0.7618
596.png,596.png,20.2229,0.6386
598.png,598.png,16.0158,0.7237
602.png,602.png,21.6228,0.6627
614.png,614.png,24.5372,0.7608
622.png,622.png,20.6914,0.7249
628.png,628.png,28.3786,0.7714
636.png,636.png,22.5225,0.7808
637.png,637.png,24.7924,0.8195
642.png,642.png,14.906,0.1461
643.png,643.png,7.7912,0.1921
645.png,645.png,12.4687,0.5224
661.png,661.png,12.3247,0.1824
665.png,665.png,22.002,0.6392
666.png,666.png,19.404,0.7423
668.png,668.png,26.6824,0.9257
671.png,671.png,19.3571,0.7584
674.png,674.png,26.3092,0.7919
678.png,678.png,18.2482,0.3665
682.png,682.png,19.3087,0.6395
689.png,689.png,23.5436,0.7786
690.png,690.png,12.4351,0.4366
702.png,702.png,21.357,0.7166
706.png,706.png,25.0278,0.9044
711.png,711.png,11.0899,0.4897
716.png,716.png,18.1345,0.824
719.png,719.png,20.8279,0.7291
720.png,720.png,24.3661,0.7725
721.png,721.png,26.1643,0.8166
727.png,727.png,26.271,0.8048
729.png,729.png,21.7739,0.7966
732.png,732.png,22.8144,0.7783
742.png,742.png,14.8852,0.5525
744.png,744.png,23.5047,0.8135
751.png,751.png,20.9437,0.5888
752.png,752.png,24.3658,0.7965
755.png,755.png,22.685,0.7513
