# NDR-Restore Outdoor-Rain Evaluation Results,,,
,,,
# Model Information,,,
Model,NDR-Restore,,
Test Dataset,Outdoor-Rain,,
,,,
# Overall Metrics,,,
Total Images,9000,,
Average PSNR (dB),15.8696,,
Average SSIM,0.6363,,
,,,
# Per-Image Results,,,
Rainy Image Name,GT Name,PSNR (dB),SSIM
im_0013_s95_a06.png,im_0013.png,20.2874,0.6359
im_0014_s100_a04.png,im_0014.png,14.5427,0.7569
im_0014_s100_a05.png,im_0014.png,18.6698,0.7802
im_0014_s100_a06.png,im_0014.png,21.3947,0.7705
im_0014_s80_a04.png,im_0014.png,18.8874,0.8008
im_0014_s80_a05.png,im_0014.png,22.6755,0.7843
im_0014_s80_a06.png,im_0014.png,11.7647,0.6348
im_0014_s85_a04.png,im_0014.png,12.431,0.6892
im_0014_s85_a05.png,im_0014.png,13.1947,0.5372
im_0014_s85_a06.png,im_0014.png,17.0118,0.6061
im_0014_s90_a04.png,im_0014.png,15.6893,0.7628
im_0014_s90_a05.png,im_0014.png,16.6306,0.6587
im_0014_s90_a06.png,im_0014.png,13.0176,0.6665
im_0014_s95_a04.png,im_0014.png,16.4466,0.5971
im_0014_s95_a05.png,im_0014.png,16.0495,0.7761
im_0014_s95_a06.png,im_0014.png,24.84,0.8207
im_0015_s100_a04.png,im_0015.png,13.9455,0.5874
im_0015_s100_a05.png,im_0015.png,13.4991,0.6579
im_0015_s100_a06.png,im_0015.png,19.4034,0.6134
im_0015_s80_a04.png,im_0015.png,19.9537,0.591
im_0015_s80_a05.png,im_0015.png,12.7845,0.6358
im_0015_s80_a06.png,im_0015.png,19.2379,0.668
im_0015_s85_a04.png,im_0015.png,14.3515,0.6773
im_0015_s85_a05.png,im_0015.png,21.8896,0.6241
im_0015_s85_a06.png,im_0015.png,18.3024,0.6008
im_0015_s90_a04.png,im_0015.png,15.9586,0.6844
im_0015_s90_a05.png,im_0015.png,16.4025,0.6331
im_0015_s90_a06.png,im_0015.png,15.1637,0.5004
im_0015_s95_a04.png,im_0015.png,12.1726,0.5304
im_0015_s95_a05.png,im_0015.png,11.866,0.6185
im_0015_s95_a06.png,im_0015.png,19.2788,0.667
im_0016_s100_a04.png,im_0016.png,18.4821,0.6176
im_0016_s100_a05.png,im_0016.png,13.7597,0.6105
im_0016_s100_a06.png,im_0016.png,21.2934,0.6522
im_0016_s80_a04.png,im_0016.png,21.6663,0.6047
im_0016_s80_a05.png,im_0016.png,16.7666,0.613
im_0016_s80_a06.png,im_0016.png,16.1904,0.713
im_0016_s85_a04.png,im_0016.png,14.1033,0.6596
im_0016_s85_a05.png,im_0016.png,17.5343,0.5952
im_0016_s85_a06.png,im_0016.png,15.935,0.55
im_0016_s90_a04.png,im_0016.png,12.1655,0.5173
im_0016_s90_a05.png,im_0016.png,19.3852,0.6062
im_0016_s90_a06.png,im_0016.png,19.7158,0.5886
im_0016_s95_a04.png,im_0016.png,23.4693,0.6254
im_0016_s95_a05.png,im_0016.png,14.9363,0.6151
im_0016_s95_a06.png,im_0016.png,23.6772,0.7381
im_0017_s100_a04.png,im_0017.png,18.9517,0.8324
im_0017_s100_a05.png,im_0017.png,23.3675,0.7308
im_0017_s100_a06.png,im_0017.png,20.4017,0.757
im_0017_s80_a04.png,im_0017.png,22.0746,0.636
im_0017_s80_a05.png,im_0017.png,23.1218,0.8037
im_0017_s80_a06.png,im_0017.png,24.0416,0.7387
im_0017_s85_a04.png,im_0017.png,17.3155,0.8123
im_0017_s85_a05.png,im_0017.png,21.7969,0.7281
im_0017_s85_a06.png,im_0017.png,19.6049,0.6274
im_0017_s90_a04.png,im_0017.png,25.6823,0.8185
im_0017_s90_a05.png,im_0017.png,17.0991,0.7336
im_0017_s90_a06.png,im_0017.png,18.8569,0.5663
im_0017_s95_a04.png,im_0017.png,22.7991,0.7114
im_0017_s95_a05.png,im_0017.png,24.1478,0.8079
im_0017_s95_a06.png,im_0017.png,18.9909,0.6691
im_0018_s100_a04.png,im_0018.png,9.684,0.597
im_0018_s100_a05.png,im_0018.png,12.0408,0.5942
im_0018_s100_a06.png,im_0018.png,18.0053,0.7219
im_0018_s80_a04.png,im_0018.png,15.8318,0.6325
im_0018_s80_a05.png,im_0018.png,9.3857,0.6306
im_0018_s80_a06.png,im_0018.png,16.653,0.7022
im_0018_s85_a04.png,im_0018.png,13.1267,0.5665
im_0018_s85_a05.png,im_0018.png,11.709,0.6802
im_0018_s85_a06.png,im_0018.png,12.9448,0.6184
im_0018_s90_a04.png,im_0018.png,15.868,0.6283
im_0018_s90_a05.png,im_0018.png,14.4379,0.5488
im_0018_s90_a06.png,im_0018.png,12.7964,0.4802
im_0018_s95_a04.png,im_0018.png,11.981,0.6292
im_0018_s95_a05.png,im_0018.png,17.2783,0.6713
im_0018_s95_a06.png,im_0018.png,16.1629,0.7214
im_0019_s100_a04.png,im_0019.png,19.9654,0.7362
im_0019_s100_a05.png,im_0019.png,14.2487,0.733
im_0019_s100_a06.png,im_0019.png,21.109,0.7025
im_0019_s80_a04.png,im_0019.png,17.306,0.6975
im_0019_s80_a05.png,im_0019.png,13.0363,0.6556
im_0019_s80_a06.png,im_0019.png,19.6765,0.8095
im_0019_s85_a04.png,im_0019.png,13.4469,0.6499
im_0019_s85_a05.png,im_0019.png,17.688,0.6581
im_0019_s85_a06.png,im_0019.png,20.8337,0.6947
im_0019_s90_a04.png,im_0019.png,19.6544,0.6653
im_0019_s90_a05.png,im_0019.png,18.6551,0.6693
im_0019_s90_a06.png,im_0019.png,12.8447,0.7068
im_0019_s95_a04.png,im_0019.png,12.8796,0.6886
im_0019_s95_a05.png,im_0019.png,16.7043,0.661
im_0019_s95_a06.png,im_0019.png,17.0065,0.6186
im_0020_s100_a04.png,im_0020.png,7.4598,0.5499
im_0020_s100_a05.png,im_0020.png,10.0335,0.59
im_0020_s100_a06.png,im_0020.png,17.8682,0.7108
im_0020_s80_a04.png,im_0020.png,15.3695,0.6694
im_0020_s80_a05.png,im_0020.png,7.1302,0.4885
im_0020_s80_a06.png,im_0020.png,14.6897,0.7685
im_0020_s85_a04.png,im_0020.png,15.3173,0.7394
im_0020_s85_a05.png,im_0020.png,13.215,0.7809
im_0020_s85_a06.png,im_0020.png,13.6174,0.628
im_0020_s90_a04.png,im_0020.png,9.5712,0.5502
im_0020_s90_a05.png,im_0020.png,6.7041,0.411
im_0020_s90_a06.png,im_0020.png,9.0695,0.6607
im_0020_s95_a04.png,im_0020.png,15.8846,0.6567
im_0020_s95_a05.png,im_0020.png,16.6273,0.7556
im_0020_s95_a06.png,im_0020.png,14.6759,0.7968
im_0021_s100_a04.png,im_0021.png,21.3567,0.6238
im_0021_s100_a05.png,im_0021.png,14.0655,0.6701
im_0021_s100_a06.png,im_0021.png,13.7501,0.6349
im_0021_s80_a04.png,im_0021.png,12.0855,0.6005
im_0021_s80_a05.png,im_0021.png,14.2783,0.5887
im_0021_s80_a06.png,im_0021.png,18.3042,0.6312
im_0021_s85_a04.png,im_0021.png,14.2944,0.7308
im_0021_s85_a05.png,im_0021.png,15.0328,0.6576
im_0021_s85_a06.png,im_0021.png,14.8472,0.6049
im_0021_s90_a04.png,im_0021.png,13.2493,0.603
im_0021_s90_a05.png,im_0021.png,14.0927,0.6425
im_0021_s90_a06.png,im_0021.png,12.9255,0.6025
im_0021_s95_a04.png,im_0021.png,9.6951,0.5304
im_0021_s95_a05.png,im_0021.png,10.2842,0.5383
im_0021_s95_a06.png,im_0021.png,11.9191,0.6183
im_0022_s100_a04.png,im_0022.png,12.3742,0.6102
im_0022_s100_a05.png,im_0022.png,15.2562,0.5813
im_0022_s100_a06.png,im_0022.png,13.117,0.4974
im_0022_s80_a04.png,im_0022.png,22.8632,0.7726
im_0022_s80_a05.png,im_0022.png,16.5282,0.8041
im_0022_s80_a06.png,im_0022.png,23.7152,0.7782
im_0022_s85_a04.png,im_0022.png,16.6239,0.5711
im_0022_s85_a05.png,im_0022.png,12.2276,0.4825
im_0022_s85_a06.png,im_0022.png,14.3153,0.6857
im_0022_s90_a04.png,im_0022.png,15.8443,0.7207
im_0022_s90_a05.png,im_0022.png,15.5431,0.6562
im_0022_s90_a06.png,im_0022.png,18.4678,0.6253
im_0022_s95_a04.png,im_0022.png,12.933,0.5429
im_0022_s95_a05.png,im_0022.png,22.7507,0.7547
im_0022_s95_a06.png,im_0022.png,18.9898,0.7858
im_0023_s100_a04.png,im_0023.png,15.5076,0.6682
im_0023_s100_a05.png,im_0023.png,17.7224,0.5801
im_0023_s100_a06.png,im_0023.png,17.327,0.7139
im_0023_s80_a04.png,im_0023.png,15.8298,0.6499
im_0023_s80_a05.png,im_0023.png,19.2544,0.5357
im_0023_s80_a06.png,im_0023.png,18.7325,0.6535
im_0023_s85_a04.png,im_0023.png,16.5278,0.7396
im_0023_s85_a05.png,im_0023.png,14.8753,0.5957
im_0023_s85_a06.png,im_0023.png,21.6312,0.6406
im_0023_s90_a04.png,im_0023.png,14.3686,0.6165
im_0023_s90_a05.png,im_0023.png,18.8716,0.5376
im_0023_s90_a06.png,im_0023.png,19.859,0.6144
im_0023_s95_a04.png,im_0023.png,21.573,0.7189
im_0023_s95_a05.png,im_0023.png,15.668,0.6
im_0023_s95_a06.png,im_0023.png,16.1759,0.6015
im_0024_s100_a04.png,im_0024.png,14.2719,0.6612
im_0024_s100_a05.png,im_0024.png,20.1396,0.655
im_0024_s100_a06.png,im_0024.png,18.5451,0.6359
im_0024_s80_a04.png,im_0024.png,20.9566,0.7077
im_0024_s80_a05.png,im_0024.png,14.9788,0.6316
im_0024_s80_a06.png,im_0024.png,16.6935,0.7058
im_0024_s85_a04.png,im_0024.png,21.3924,0.6331
im_0024_s85_a05.png,im_0024.png,15.3184,0.6714
im_0024_s85_a06.png,im_0024.png,19.6511,0.6815
im_0024_s90_a04.png,im_0024.png,17.4068,0.5613
im_0024_s90_a05.png,im_0024.png,18.9027,0.6097
im_0024_s90_a06.png,im_0024.png,14.9243,0.4915
im_0024_s95_a04.png,im_0024.png,15.665,0.7297
im_0024_s95_a05.png,im_0024.png,18.5113,0.5859
im_0024_s95_a06.png,im_0024.png,18.3644,0.6605
im_0025_s100_a04.png,im_0025.png,17.9138,0.7453
im_0025_s100_a05.png,im_0025.png,10.6898,0.612
im_0025_s100_a06.png,im_0025.png,14.6609,0.5866
im_0025_s80_a04.png,im_0025.png,10.6221,0.5773
im_0025_s80_a05.png,im_0025.png,15.0757,0.6418
im_0025_s80_a06.png,im_0025.png,20.4385,0.797
im_0025_s85_a04.png,im_0025.png,15.2171,0.7339
im_0025_s85_a05.png,im_0025.png,16.5539,0.7565
im_0025_s85_a06.png,im_0025.png,10.0606,0.6172
im_0025_s90_a04.png,im_0025.png,14.5226,0.5714
im_0025_s90_a05.png,im_0025.png,15.4653,0.7339
im_0025_s90_a06.png,im_0025.png,14.0815,0.7021
im_0025_s95_a04.png,im_0025.png,10.9334,0.6009
im_0025_s95_a05.png,im_0025.png,17.0745,0.7569
im_0025_s95_a06.png,im_0025.png,12.11,0.6297
im_0026_s100_a04.png,im_0026.png,18.8123,0.5822
im_0026_s100_a05.png,im_0026.png,12.8612,0.6724
im_0026_s100_a06.png,im_0026.png,19.073,0.7006
im_0026_s80_a04.png,im_0026.png,19.5477,0.7585
im_0026_s80_a05.png,im_0026.png,20.8962,0.7232
im_0026_s80_a06.png,im_0026.png,19.772,0.7206
im_0026_s85_a04.png,im_0026.png,12.8997,0.6086
im_0026_s85_a05.png,im_0026.png,19.074,0.5534
im_0026_s85_a06.png,im_0026.png,13.6317,0.6794
im_0026_s90_a04.png,im_0026.png,11.8582,0.6363
im_0026_s90_a05.png,im_0026.png,20.6764,0.608
im_0026_s90_a06.png,im_0026.png,11.8384,0.4941
im_0026_s95_a04.png,im_0026.png,19.3486,0.7033
im_0026_s95_a05.png,im_0026.png,14.0709,0.6894
im_0026_s95_a06.png,im_0026.png,20.6982,0.6309
im_0027_s100_a04.png,im_0027.png,18.1923,0.6003
im_0027_s100_a05.png,im_0027.png,17.4863,0.5726
im_0027_s100_a06.png,im_0027.png,18.6088,0.7754
im_0027_s80_a04.png,im_0027.png,16.5263,0.7472
im_0027_s80_a05.png,im_0027.png,16.0471,0.7903
im_0027_s80_a06.png,im_0027.png,21.9057,0.716
im_0027_s85_a04.png,im_0027.png,14.0798,0.5342
im_0027_s85_a05.png,im_0027.png,22.9031,0.6068
im_0027_s85_a06.png,im_0027.png,14.4491,0.7215
im_0027_s90_a04.png,im_0027.png,19.7903,0.6396
im_0027_s90_a05.png,im_0027.png,20.7886,0.7432
im_0027_s90_a06.png,im_0027.png,15.7324,0.6905
im_0027_s95_a04.png,im_0027.png,14.4461,0.513
im_0027_s95_a05.png,im_0027.png,16.9501,0.5705
im_0027_s95_a06.png,im_0027.png,18.0865,0.5803
im_0028_s100_a04.png,im_0028.png,18.4139,0.5963
im_0028_s100_a05.png,im_0028.png,18.4213,0.7358
im_0028_s100_a06.png,im_0028.png,19.0739,0.6148
im_0028_s80_a04.png,im_0028.png,17.2082,0.6217
im_0028_s80_a05.png,im_0028.png,15.9716,0.5885
im_0028_s80_a06.png,im_0028.png,16.5075,0.6594
im_0028_s85_a04.png,im_0028.png,21.327,0.7266
im_0028_s85_a05.png,im_0028.png,20.3491,0.6107
im_0028_s85_a06.png,im_0028.png,16.4706,0.6718
im_0028_s90_a04.png,im_0028.png,17.9535,0.5969
im_0028_s90_a05.png,im_0028.png,17.3673,0.579
im_0028_s90_a06.png,im_0028.png,20.0588,0.651
im_0028_s95_a04.png,im_0028.png,16.7259,0.7351
im_0028_s95_a05.png,im_0028.png,22.021,0.7079
im_0028_s95_a06.png,im_0028.png,19.9674,0.6422
im_0029_s100_a04.png,im_0029.png,10.6684,0.6052
im_0029_s100_a05.png,im_0029.png,9.4165,0.5378
im_0029_s100_a06.png,im_0029.png,16.9681,0.7637
im_0029_s80_a04.png,im_0029.png,7.8842,0.5237
im_0029_s80_a05.png,im_0029.png,8.6676,0.5366
im_0029_s80_a06.png,im_0029.png,8.4168,0.5822
im_0029_s85_a04.png,im_0029.png,9.1431,0.5879
im_0029_s85_a05.png,im_0029.png,9.596,0.6487
im_0029_s85_a06.png,im_0029.png,9.8785,0.6911
im_0029_s90_a04.png,im_0029.png,10.4185,0.576
im_0029_s90_a05.png,im_0029.png,13.1121,0.5761
im_0029_s90_a06.png,im_0029.png,19.0239,0.6791
im_0029_s95_a04.png,im_0029.png,8.4846,0.5521
