# NDR-Restore RainDS_syn Evaluation Results,,,,
,,,,
# Model Information,,,,
Model,NDR-Restore,,,
Test Dataset,RainDS_syn,,,
,,,,
# Overall Metrics Summary,,,,
Rain Type,Image Count,Average PSNR (dB),Average SSIM,
Raindrop,200,20.045,0.7713,
Rainstreak,200,22.4901,0.6714,
Rainstreak Raindrop,200,18.4167,0.5715,
Overall,600,20.3173,0.6714,
,,,,
# Per-Image Results,,,,
Image Name,GT Name,Rain Type,PSNR (dB),SSIM
rd-317.png,norain-317.png,raindrop,20.7079,0.6965
rd-318.png,norain-318.png,raindrop,20.7084,0.6965
rd-354.png,norain-354.png,raindrop,17.4229,0.6979
rd-360.png,norain-360.png,raindrop,18.61,0.6808
rd-361.png,norain-361.png,raindrop,19.3698,0.6745
rd-362.png,norain-362.png,raindrop,20.2322,0.6724
rd-363.png,norain-363.png,raindrop,20.013,0.6772
rd-364.png,norain-364.png,raindrop,19.4002,0.6849
rd-365.png,norain-365.png,raindrop,19.4683,0.687
rd-366.png,norain-366.png,raindrop,18.7746,0.6863
rd-367.png,norain-367.png,raindrop,18.8854,0.6768
rd-368.png,norain-368.png,raindrop,18.4475,0.6575
rd-369.png,norain-369.png,raindrop,18.4559,0.6679
rd-377.png,norain-377.png,raindrop,18.9757,0.6621
rd-395.png,norain-395.png,raindrop,18.9476,0.678
rd-425.png,norain-425.png,raindrop,20.3684,0.7264
rd-436.png,norain-436.png,raindrop,19.7547,0.722
rd-487.png,norain-487.png,raindrop,21.2259,0.7638
rd-488.png,norain-488.png,raindrop,21.3117,0.7579
rd-489.png,norain-489.png,raindrop,20.7477,0.7486
rd-490.png,norain-490.png,raindrop,20.5607,0.7452
rd-491.png,norain-491.png,raindrop,20.5802,0.7859
rd-492.png,norain-492.png,raindrop,20.7004,0.7731
rd-493.png,norain-493.png,raindrop,20.2835,0.7632
rd-494.png,norain-494.png,raindrop,19.0663,0.7264
rd-495.png,norain-495.png,raindrop,19.5446,0.7339
rd-496.png,norain-496.png,raindrop,20.5975,0.748
rd-497.png,norain-497.png,raindrop,20.9586,0.755
rd-498.png,norain-498.png,raindrop,21.668,0.744
rd-499.png,norain-499.png,raindrop,21.7962,0.7501
rd-50.png,norain-50.png,raindrop,19.9664,0.6357
rd-500.png,norain-500.png,raindrop,21.5873,0.7465
rd-501.png,norain-501.png,raindrop,18.912,0.7006
rd-502.png,norain-502.png,raindrop,18.6547,0.7121
rd-503.png,norain-503.png,raindrop,18.7924,0.7059
rd-504.png,norain-504.png,raindrop,19.2248,0.7051
rd-505.png,norain-505.png,raindrop,18.9587,0.6989
rd-506.png,norain-506.png,raindrop,19.3634,0.7108
rd-507.png,norain-507.png,raindrop,19.4804,0.7243
rd-508.png,norain-508.png,raindrop,19.2497,0.7041
rd-509.png,norain-509.png,raindrop,19.225,0.6942
rd-510.png,norain-510.png,raindrop,19.3244,0.7217
rd-511.png,norain-511.png,raindrop,19.6988,0.6829
rd-512.png,norain-512.png,raindrop,18.8634,0.7092
rd-513.png,norain-513.png,raindrop,19.0756,0.7176
rd-514.png,norain-514.png,raindrop,19.089,0.7147
rd-515.png,norain-515.png,raindrop,19.6851,0.7243
rd-516.png,norain-516.png,raindrop,18.7016,0.7198
rd-517.png,norain-517.png,raindrop,18.6032,0.7161
rd-518.png,norain-518.png,raindrop,18.0229,0.7006
rd-519.png,norain-519.png,raindrop,19.873,0.683
rd-520.png,norain-520.png,raindrop,19.1769,0.7099
rd-521.png,norain-521.png,raindrop,19.1607,0.7134
rd-522.png,norain-522.png,raindrop,19.0429,0.7146
rd-523.png,norain-523.png,raindrop,19.0163,0.7157
rd-524.png,norain-524.png,raindrop,19.0073,0.7151
rd-525.png,norain-525.png,raindrop,19.0117,0.7152
rd-60.png,norain-60.png,raindrop,20.7602,0.6553
rd-61.png,norain-61.png,raindrop,20.0392,0.7399
rd-62.png,norain-62.png,raindrop,20.2772,0.7291
rd-63.png,norain-63.png,raindrop,19.8129,0.7215
rd-64.png,norain-64.png,raindrop,20.4395,0.7358
rd-65.png,norain-65.png,raindrop,19.6603,0.7337
rd-66.png,norain-66.png,raindrop,20.1145,0.7407
rd-67.png,norain-67.png,raindrop,21.1294,0.7584
rd-68.png,norain-68.png,raindrop,20.9916,0.7426
rd-69.png,norain-69.png,raindrop,19.7589,0.73
rd-70.png,norain-70.png,raindrop,21.7338,0.674
rd-74.png,norain-74.png,raindrop,21.7764,0.6762
rd-89.png,norain-89.png,raindrop,22.1296,0.6598
pie-rain-100.png,pie-norain-100.png,rainstreak,27.8647,0.889
pie-rain-104.png,pie-norain-104.png,rainstreak,23.7616,0.7067
pie-rain-108.png,pie-norain-108.png,rainstreak,25.4266,0.7701
pie-rain-109.png,pie-norain-109.png,rainstreak,22.5849,0.6925
pie-rain-110.png,pie-norain-110.png,rainstreak,21.7721,0.7378
pie-rain-113.png,pie-norain-113.png,rainstreak,25.0518,0.7366
pie-rain-118.png,pie-norain-118.png,rainstreak,22.7925,0.7336
pie-rain-124.png,pie-norain-124.png,rainstreak,27.2892,0.8932
pie-rain-128.png,pie-norain-128.png,rainstreak,22.8042,0.772
pie-rain-138.png,pie-norain-138.png,rainstreak,24.8823,0.73
pie-rain-143.png,pie-norain-143.png,rainstreak,23.8353,0.7154
pie-rain-163.png,pie-norain-163.png,rainstreak,23.5455,0.7825
pie-rain-173.png,pie-norain-173.png,rainstreak,23.2062,0.7549
pie-rain-174.png,pie-norain-174.png,rainstreak,23.1157,0.7666
pie-rain-180.png,pie-norain-180.png,rainstreak,21.7229,0.7264
pie-rain-182.png,pie-norain-182.png,rainstreak,23.838,0.6701
pie-rain-19.png,pie-norain-19.png,rainstreak,19.8839,0.6794
pie-rain-212.png,pie-norain-212.png,rainstreak,21.9923,0.7373
pie-rain-213.png,pie-norain-213.png,rainstreak,24.4988,0.8064
pie-rain-216.png,pie-norain-216.png,rainstreak,22.7798,0.7447
pie-rain-223.png,pie-norain-223.png,rainstreak,22.6319,0.7667
pie-rain-225.png,pie-norain-225.png,rainstreak,25.3144,0.7894
pie-rain-228.png,pie-norain-228.png,rainstreak,22.037,0.7647
pie-rain-229.png,pie-norain-229.png,rainstreak,21.841,0.588
pie-rain-234.png,pie-norain-234.png,rainstreak,22.267,0.7539
pie-rain-236.png,pie-norain-236.png,rainstreak,25.0408,0.8428
pie-rain-237.png,pie-norain-237.png,rainstreak,22.4216,0.6193
pie-rain-264.png,pie-norain-264.png,rainstreak,23.3634,0.6992
pie-rain-268.png,pie-norain-268.png,rainstreak,25.0329,0.711
pie-rain-28.png,pie-norain-28.png,rainstreak,26.463,0.8916
pie-rain-299.png,pie-norain-299.png,rainstreak,26.2888,0.889
pie-rain-306.png,pie-norain-306.png,rainstreak,20.663,0.7483
pie-rain-308.png,pie-norain-308.png,rainstreak,25.2499,0.8008
pie-rain-311.png,pie-norain-311.png,rainstreak,24.2206,0.7402
pie-rain-313.png,pie-norain-313.png,rainstreak,24.7512,0.7524
pie-rain-323.png,pie-norain-323.png,rainstreak,26.1915,0.8598
pie-rain-326.png,pie-norain-326.png,rainstreak,29.9544,0.9249
pie-rain-332.png,pie-norain-332.png,rainstreak,25.8453,0.8688
pie-rain-343.png,pie-norain-343.png,rainstreak,22.6758,0.8052
pie-rain-344.png,pie-norain-344.png,rainstreak,24.787,0.8461
pie-rain-349.png,pie-norain-349.png,rainstreak,23.9936,0.7786
pie-rain-35.png,pie-norain-35.png,rainstreak,21.9146,0.5963
pie-rain-353.png,pie-norain-353.png,rainstreak,23.929,0.6769
pie-rain-355.png,pie-norain-355.png,rainstreak,25.4417,0.7518
pie-rain-36.png,pie-norain-36.png,rainstreak,24.382,0.7287
pie-rain-37.png,pie-norain-37.png,rainstreak,22.1406,0.6158
pie-rain-374.png,pie-norain-374.png,rainstreak,26.7444,0.7473
pie-rain-380.png,pie-norain-380.png,rainstreak,23.4285,0.741
pie-rain-381.png,pie-norain-381.png,rainstreak,24.5615,0.6836
pie-rain-383.png,pie-norain-383.png,rainstreak,28.7441,0.9074
pie-rain-389.png,pie-norain-389.png,rainstreak,20.4291,0.7356
pie-rain-391.png,pie-norain-391.png,rainstreak,24.459,0.8258
pie-rain-393.png,pie-norain-393.png,rainstreak,24.1067,0.6975
pie-rain-4.png,pie-norain-4.png,rainstreak,25.2582,0.8481
pie-rain-406.png,pie-norain-406.png,rainstreak,23.9354,0.681
pie-rain-408.png,pie-norain-408.png,rainstreak,24.4822,0.6981
pie-rain-416.png,pie-norain-416.png,rainstreak,23.9059,0.8101
pie-rain-418.png,pie-norain-418.png,rainstreak,23.9074,0.78
pie-rain-424.png,pie-norain-424.png,rainstreak,24.7007,0.7246
pie-rain-43.png,pie-norain-43.png,rainstreak,23.9649,0.646
pie-rain-431.png,pie-norain-431.png,rainstreak,25.187,0.8774
pie-rain-439.png,pie-norain-439.png,rainstreak,22.6395,0.6073
pie-rain-445.png,pie-norain-445.png,rainstreak,26.2734,0.8914
pie-rain-447.png,pie-norain-447.png,rainstreak,24.8646,0.887
pie-rain-449.png,pie-norain-449.png,rainstreak,23.1508,0.649
pie-rain-453.png,pie-norain-453.png,rainstreak,23.1012,0.8332
pie-rain-460.png,pie-norain-460.png,rainstreak,26.2219,0.8683
pie-rain-461.png,pie-norain-461.png,rainstreak,25.6555,0.7181
pie-rain-482.png,pie-norain-482.png,rainstreak,24.0018,0.8203
pie-rain-483.png,pie-norain-483.png,rainstreak,20.8134,0.749
pie-rain-487.png,pie-norain-487.png,rainstreak,19.4385,0.6809
pie-rain-501.png,pie-norain-501.png,rainstreak,24.6326,0.6715
pie-rain-507.png,pie-norain-507.png,rainstreak,26.2721,0.8658
pie-rain-510.png,pie-norain-510.png,rainstreak,20.3339,0.6936
pie-rain-513.png,pie-norain-513.png,rainstreak,23.9439,0.6796
pie-rain-518.png,pie-norain-518.png,rainstreak,22.2133,0.5806
pie-rain-535.png,pie-norain-535.png,rainstreak,21.716,0.7807
pie-rain-544.png,pie-norain-544.png,rainstreak,24.9582,0.7149
pie-rain-549.png,pie-norain-549.png,rainstreak,25.0934,0.7469
pie-rain-555.png,pie-norain-555.png,rainstreak,20.7783,0.7324
pie-rain-560.png,pie-norain-560.png,rainstreak,23.5144,0.6561
pie-rain-561.png,pie-norain-561.png,rainstreak,22.7821,0.8131
pie-rain-564.png,pie-norain-564.png,rainstreak,22.8273,0.634
pie-rain-565.png,pie-norain-565.png,rainstreak,23.1554,0.6374
pie-rain-566.png,pie-norain-566.png,rainstreak,22.493,0.7943
pie-rain-567.png,pie-norain-567.png,rainstreak,26.0053,0.872
pie-rain-572.png,pie-norain-572.png,rainstreak,22.5816,0.8117
pie-rain-580.png,pie-norain-580.png,rainstreak,21.9627,0.5807
pie-rain-586.png,pie-norain-586.png,rainstreak,23.0237,0.6542
pie-rain-594.png,pie-norain-594.png,rainstreak,26.2496,0.8785
pie-rain-598.png,pie-norain-598.png,rainstreak,22.1843,0.6881
pie-rain-599.png,pie-norain-599.png,rainstreak,25.1109,0.6998
pie-rain-64.png,pie-norain-64.png,rainstreak,22.6009,0.6178
pie-rain-72.png,pie-norain-72.png,rainstreak,27.0137,0.8674
pie-rain-77.png,pie-norain-77.png,rainstreak,25.1052,0.6511
pie-rain-79.png,pie-norain-79.png,rainstreak,23.9968,0.8028
