# NDR-Restore RainDS_real Evaluation Results,,,,
,,,,
# Model Information,,,,
Model,NDR-Restore,,,
Test Dataset,RainDS_real,,,
,,,,
# Overall Metrics Summary,,,,
Rain Type,Image Count,Average PSNR (dB),Average SSIM,
Raindrop,98,19.6607,0.7084,
Rainstreak,98,24.1317,0.7637,
Rainstreak Raindrop,98,18.5635,0.6385,
Overall,294,20.7853,0.7035,
,,,,
# Per-Image Results,,,,
Image Name,GT Name,Rain Type,PSNR (dB),SSIM
209.png,209.png,rainstreak_raindrop,16.218,0.6332
210.png,210.png,rainstreak_raindrop,18.8442,0.7397
211.png,211.png,rainstreak_raindrop,20.5093,0.7286
212.png,212.png,rainstreak_raindrop,19.1004,0.7101
213.png,213.png,rainstreak_raindrop,19.9427,0.7468
214.png,214.png,rainstreak_raindrop,16.2229,0.5544
215.png,215.png,rainstreak_raindrop,17.0359,0.627
216.png,216.png,rainstreak_raindrop,15.0344,0.5917
217.png,217.png,rainstreak_raindrop,15.1698,0.4949
218.png,218.png,rainstreak_raindrop,21.3343,0.7106
25.png,25.png,rainstreak_raindrop,14.8831,0.208
26.png,26.png,rainstreak_raindrop,14.644,0.1307
30.png,30.png,rainstreak_raindrop,10.9139,0.3994
32.png,32.png,rainstreak_raindrop,17.5813,0.6101
33.png,33.png,rainstreak_raindrop,15.78,0.6122
34.png,34.png,rainstreak_raindrop,17.7879,0.5929
35.png,35.png,rainstreak_raindrop,17.9746,0.4598
37.png,37.png,rainstreak_raindrop,11.9208,0.4372
41.png,41.png,rainstreak_raindrop,16.6234,0.6551
42.png,42.png,rainstreak_raindrop,12.4954,0.6001
43.png,43.png,rainstreak_raindrop,15.7789,0.6956
44.png,44.png,rainstreak_raindrop,18.0807,0.6783
47.png,47.png,rainstreak_raindrop,19.4443,0.5825
50.png,50.png,rainstreak_raindrop,17.6535,0.6752
51.png,51.png,rainstreak_raindrop,18.9044,0.6351
52.png,52.png,rainstreak_raindrop,18.9155,0.6871
53.png,53.png,rainstreak_raindrop,14.8488,0.6281
58.png,58.png,rainstreak_raindrop,14.3853,0.5013
59.png,59.png,rainstreak_raindrop,20.0133,0.7111
6.png,6.png,rainstreak_raindrop,13.4648,0.3745
64.png,64.png,rainstreak_raindrop,20.1324,0.6971
65.png,65.png,rainstreak_raindrop,19.6677,0.7123
66.png,66.png,rainstreak_raindrop,19.2695,0.677
7.png,7.png,rainstreak_raindrop,14.1226,0.5236
71.png,71.png,rainstreak_raindrop,23.1108,0.7866
72.png,72.png,rainstreak_raindrop,27.1349,0.8213
77.png,77.png,rainstreak_raindrop,22.4668,0.7502
78.png,78.png,rainstreak_raindrop,20.731,0.7331
8.png,8.png,rainstreak_raindrop,17.5816,0.6338
83.png,83.png,rainstreak_raindrop,21.3472,0.5179
84.png,84.png,rainstreak_raindrop,16.4288,0.6202
89.png,89.png,rainstreak_raindrop,18.2323,0.2661
90.png,90.png,rainstreak_raindrop,18.5249,0.6869
95.png,95.png,rainstreak_raindrop,20.4593,0.7387
96.png,96.png,rainstreak_raindrop,22.4922,0.8209
