# RLP Evaluation Results - RainDS_syn,,,
# Model:,Uformer_T_RLP_RPIM,,
# Date:,22-02-2026 04:56,,
,,,
# Summary,,,
Total Images,600,,
Failed,0,,
Average PSNR (dB),20.2807,,
Average SSIM,0.6775,,
,,,
# Per-Image Results,,,
Image Name,GT Name,PSNR (dB),SSIM
raindrop_rd-274.png,norain-274.png,18.8036,0.766
raindrop_rd-305.png,norain-305.png,19.1723,0.7586
raindrop_rd-317.png,norain-317.png,19.1655,0.7552
raindrop_rd-318.png,norain-318.png,19.1509,0.7547
raindrop_rd-354.png,norain-354.png,18.0239,0.7444
raindrop_rd-360.png,norain-360.png,18.5504,0.7636
raindrop_rd-361.png,norain-361.png,18.806,0.7693
raindrop_rd-362.png,norain-362.png,19.7564,0.7718
raindrop_rd-363.png,norain-363.png,19.2133,0.7644
raindrop_rd-364.png,norain-364.png,18.8346,0.7656
raindrop_rd-365.png,norain-365.png,18.5646,0.7658
raindrop_rd-366.png,norain-366.png,18.0891,0.752
raindrop_rd-367.png,norain-367.png,18.1508,0.751
raindrop_rd-368.png,norain-368.png,17.8323,0.7359
raindrop_rd-369.png,norain-369.png,17.905,0.7356
raindrop_rd-377.png,norain-377.png,19.4011,0.7508
raindrop_rd-395.png,norain-395.png,17.0351,0.709
raindrop_rd-425.png,norain-425.png,19.4627,0.7762
raindrop_rd-436.png,norain-436.png,18.9981,0.7908
raindrop_rd-487.png,norain-487.png,20.5955,0.8012
raindrop_rd-488.png,norain-488.png,19.732,0.7811
raindrop_rd-489.png,norain-489.png,18.3722,0.7497
raindrop_rd-490.png,norain-490.png,18.6419,0.7438
raindrop_rd-491.png,norain-491.png,20.3472,0.8077
raindrop_rd-492.png,norain-492.png,20.0753,0.7873
raindrop_rd-493.png,norain-493.png,19.4438,0.7726
raindrop_rd-494.png,norain-494.png,18.4151,0.7453
raindrop_rd-495.png,norain-495.png,18.7172,0.7581
raindrop_rd-496.png,norain-496.png,19.5718,0.78
raindrop_rd-497.png,norain-497.png,20.8183,0.7917
raindrop_rd-498.png,norain-498.png,20.5849,0.7842
raindrop_rd-499.png,norain-499.png,20.7965,0.7937
raindrop_rd-50.png,norain-50.png,21.409,0.7297
raindrop_rd-500.png,norain-500.png,20.7939,0.7889
raindrop_rd-501.png,norain-501.png,20.0688,0.7498
raindrop_rd-502.png,norain-502.png,19.3995,0.7373
raindrop_rd-503.png,norain-503.png,19.4129,0.7432
raindrop_rd-504.png,norain-504.png,19.4563,0.7414
raindrop_rd-505.png,norain-505.png,19.4874,0.7499
raindrop_rd-506.png,norain-506.png,19.5548,0.7434
raindrop_rd-507.png,norain-507.png,19.7063,0.7499
raindrop_rd-508.png,norain-508.png,19.9773,0.7583
raindrop_rd-509.png,norain-509.png,20.3421,0.7753
raindrop_rd-510.png,norain-510.png,19.2487,0.759
raindrop_rd-511.png,norain-511.png,19.4807,0.7489
raindrop_rd-512.png,norain-512.png,18.6848,0.7509
raindrop_rd-513.png,norain-513.png,18.3406,0.7409
raindrop_rd-514.png,norain-514.png,18.2689,0.7381
raindrop_rd-515.png,norain-515.png,19.3758,0.7585
raindrop_rd-516.png,norain-516.png,18.8206,0.7511
raindrop_rd-517.png,norain-517.png,18.8939,0.7557
raindrop_rd-518.png,norain-518.png,18.5482,0.736
raindrop_rd-519.png,norain-519.png,20.5736,0.7788
raindrop_rd-520.png,norain-520.png,19.4639,0.752
raindrop_rd-521.png,norain-521.png,19.3831,0.7534
raindrop_rd-522.png,norain-522.png,20.4335,0.7738
raindrop_rd-523.png,norain-523.png,20.4049,0.7722
raindrop_rd-524.png,norain-524.png,20.3974,0.7706
raindrop_rd-525.png,norain-525.png,20.3951,0.7707
raindrop_rd-60.png,norain-60.png,19.7426,0.7198
raindrop_rd-61.png,norain-61.png,19.2281,0.7796
raindrop_rd-62.png,norain-62.png,18.7425,0.7586
raindrop_rd-63.png,norain-63.png,18.5623,0.7459
raindrop_rd-64.png,norain-64.png,18.856,0.7552
raindrop_rd-65.png,norain-65.png,18.7997,0.7573
raindrop_rd-66.png,norain-66.png,19.0629,0.7709
raindrop_rd-67.png,norain-67.png,18.5257,0.7748
raindrop_rd-68.png,norain-68.png,18.3022,0.7704
raindrop_rd-69.png,norain-69.png,17.8228,0.7562
raindrop_rd-70.png,norain-70.png,18.4915,0.7161
raindrop_rd-74.png,norain-74.png,18.3964,0.717
raindrop_rd-89.png,norain-89.png,21.2869,0.7607
rainstreak_pie-rain-100.png,pie-norain-100.png,21.0235,0.618
rainstreak_pie-rain-104.png,pie-norain-104.png,23.7318,0.7455
rainstreak_pie-rain-108.png,pie-norain-108.png,24.9835,0.8201
rainstreak_pie-rain-109.png,pie-norain-109.png,22.361,0.6693
rainstreak_pie-rain-110.png,pie-norain-110.png,20.6584,0.6336
rainstreak_pie-rain-113.png,pie-norain-113.png,22.4147,0.8003
rainstreak_pie-rain-118.png,pie-norain-118.png,21.6801,0.6977
rainstreak_pie-rain-124.png,pie-norain-124.png,21.5347,0.7196
rainstreak_pie-rain-128.png,pie-norain-128.png,19.7509,0.6544
rainstreak_pie-rain-138.png,pie-norain-138.png,23.323,0.7497
rainstreak_pie-rain-143.png,pie-norain-143.png,25.5151,0.7971
rainstreak_pie-rain-163.png,pie-norain-163.png,18.9403,0.6026
rainstreak_pie-rain-173.png,pie-norain-173.png,20.3479,0.6473
rainstreak_pie-rain-174.png,pie-norain-174.png,21.0553,0.6805
rainstreak_pie-rain-180.png,pie-norain-180.png,21.6262,0.6755
rainstreak_pie-rain-182.png,pie-norain-182.png,26.08,0.7734
rainstreak_pie-rain-19.png,pie-norain-19.png,20.9462,0.6295
rainstreak_pie-rain-212.png,pie-norain-212.png,19.7479,0.6103
rainstreak_pie-rain-213.png,pie-norain-213.png,19.6722,0.6414
rainstreak_pie-rain-216.png,pie-norain-216.png,19.9581,0.6153
rainstreak_pie-rain-223.png,pie-norain-223.png,20.4654,0.6321
rainstreak_pie-rain-225.png,pie-norain-225.png,21.3749,0.666
rainstreak_pie-rain-228.png,pie-norain-228.png,18.8766,0.5739
rainstreak_pie-rain-229.png,pie-norain-229.png,21.329,0.6713
rainstreak_pie-rain-234.png,pie-norain-234.png,21.2347,0.6404
rainstreak_pie-rain-236.png,pie-norain-236.png,19.2306,0.5918
rainstreak_pie-rain-237.png,pie-norain-237.png,22.3155,0.6735
rainstreak_pie-rain-264.png,pie-norain-264.png,23.47,0.7202
rainstreak_pie-rain-268.png,pie-norain-268.png,24.8171,0.8045
rainstreak_pie-rain-28.png,pie-norain-28.png,21.4958,0.6538
rainstreak_pie-rain-299.png,pie-norain-299.png,20.9168,0.6706
rainstreak_pie-rain-306.png,pie-norain-306.png,22.2351,0.7006
rainstreak_pie-rain-308.png,pie-norain-308.png,26.0221,0.8331
rainstreak_pie-rain-311.png,pie-norain-311.png,25.1099,0.8163
rainstreak_pie-rain-313.png,pie-norain-313.png,25.1485,0.8107
rainstreak_pie-rain-323.png,pie-norain-323.png,20.094,0.6872
rainstreak_pie-rain-326.png,pie-norain-326.png,21.2174,0.7098
rainstreak_pie-rain-332.png,pie-norain-332.png,21.9724,0.7311
rainstreak_pie-rain-343.png,pie-norain-343.png,21.1413,0.6738
rainstreak_pie-rain-344.png,pie-norain-344.png,21.0234,0.6851
rainstreak_pie-rain-349.png,pie-norain-349.png,22.0342,0.7121
rainstreak_pie-rain-35.png,pie-norain-35.png,23.1302,0.6976
rainstreak_pie-rain-353.png,pie-norain-353.png,23.4629,0.7538
rainstreak_pie-rain-355.png,pie-norain-355.png,24.4411,0.7985
rainstreak_pie-rain-36.png,pie-norain-36.png,25.4172,0.7537
rainstreak_pie-rain-37.png,pie-norain-37.png,22.715,0.6707
rainstreak_pie-rain-374.png,pie-norain-374.png,23.262,0.7926
rainstreak_pie-rain-380.png,pie-norain-380.png,22.0072,0.7202
rainstreak_pie-rain-381.png,pie-norain-381.png,23.5772,0.7483
rainstreak_pie-rain-383.png,pie-norain-383.png,22.2565,0.7158
rainstreak_pie-rain-389.png,pie-norain-389.png,20.187,0.6775
rainstreak_pie-rain-391.png,pie-norain-391.png,21.0655,0.7034
rainstreak_pie-rain-393.png,pie-norain-393.png,22.8555,0.7606
rainstreak_pie-rain-4.png,pie-norain-4.png,18.8446,0.5607
rainstreak_pie-rain-406.png,pie-norain-406.png,24.2375,0.7709
rainstreak_pie-rain-408.png,pie-norain-408.png,24.7052,0.7991
rainstreak_pie-rain-416.png,pie-norain-416.png,19.8848,0.6583
rainstreak_pie-rain-418.png,pie-norain-418.png,23.1165,0.7689
rainstreak_pie-rain-424.png,pie-norain-424.png,25.6257,0.7737
rainstreak_pie-rain-43.png,pie-norain-43.png,24.9536,0.7433
rainstreak_pie-rain-431.png,pie-norain-431.png,21.3657,0.7367
rainstreak_pie-rain-439.png,pie-norain-439.png,24.0533,0.7047
rainstreak_pie-rain-445.png,pie-norain-445.png,21.7504,0.6892
rainstreak_pie-rain-447.png,pie-norain-447.png,22.2412,0.6989
rainstreak_pie-rain-449.png,pie-norain-449.png,25.1176,0.7742
rainstreak_pie-rain-453.png,pie-norain-453.png,21.037,0.6307
rainstreak_pie-rain-460.png,pie-norain-460.png,20.7937,0.6146
rainstreak_pie-rain-461.png,pie-norain-461.png,24.6278,0.7958
rainstreak_pie-rain-482.png,pie-norain-482.png,20.8937,0.688
